Country,Human Development Index (HDI) - 2011,Human Development Index (HDI) - 2012,Human Development Index (HDI) - 2013,Human Development Index (HDI) - 2014,Human Development Index (HDI) - 2015,HDI_Rank_2011,HDI_Rank_2012,HDI_Rank_2013,HDI_Rank_2014,HDI_Rank_2015,Life Expectancy at birth - 2011,Life Expectancy at birth - 2012,Life Expectancy at birth - 2013,Life Expectancy at birth - 2014,Life Expectancy at birth - 2015,Maternal Mortality Ratio - 2008,Maternal Mortality Ratio - 2010,Maternal Mortality Ratio - 2015,Total Fertility Rate (births per woman) - 2000/2005,Total Fertility Rate (births per woman) - 2010/2015,Adolescent Fertility Rate (Birth per 1000 woman aged 15-19) - 2010/2015 (a),Expected Years of Schooling - 2011,Expected Years of Schooling - 2012,Expected Years of Schooling - 2014,Expected Years of Schooling - 2015,Mean Years of Schooling - 2010,Mean Years of Schooling - 2012,Mean Years of Schooling - 2014,Mean Years of Schooling - 2015,Population with at least some Secondary Education ( % age 25 and Older) - 2005-12 (c) - Female,Population with at least some Secondary Education ( % age 25 and Older) - 2005-12 (c) - Male,Population with at least some Secondary Education ( % age 25 and Older) - 2005-2015 - Female,Population with at least some Secondary Education ( % age 25 and Older) - 2005-2015 - Male,LFPR_15_2009F,LFPR_15_2009M,LFPR_15_2011F,LFPR_15_2011M,LFPR_15_2012F,LFPR_15_2012M,LFPR_15_2014F,LFPR_15_2014M,LFPR_15_2015F,LFPR_15_2015M
Argentina,0.804,0.806,0.808,0.836,0.827,48,49,49,40,45,75.9,76.1,76.3,76.3,76.4,70,77,52,2.4,2.2,63.8,15.8,16.4,16.4,17.3,9.3,9.8,9.8,9.9,57,54.9,63.5,61.4,52.4,78.4,47.3,74.9,47.3,75,47.5,75,48.4,74.5
Australia,0.928,0.931,0.933,0.935,0.939,2,2,2,2,3,81.9,82,82.5,82.4,82.5,8,7,6,1.8,1.9,14.1,18,19.9,19.9,20.4,12,12.8,13,13.2,94.3,94.6,91.4,91.5,58.4,72.2,58.8,72.3,58.8,71.9,58.8,71.8,58.6,70.9
Brazil,0.74,0.742,0.744,0.755,0.754,78,80,79,75,79,73.5,73.8,73.9,74.5,74.7,58,56,44,2.3,1.8,67,13.8,15.2,15.2,15.2,7.2,7.2,7.7,7.8,51.9,49,59.1,55.2,60.1,81.9,59.6,80.9,59.5,80.9,59.4,80.8,56.3,78.5
Canada,0.9,0.901,0.902,0.913,0.92,8,8,8,9,9,81,81.1,81.5,82,82.2,12,12,7,1.5,1.7,9.8,16,15.9,15.9,16.3,12.3,12.3,13,13.1,100,100,100,100,62.7,73,61.9,71.4,61.6,71.2,61.6,71,61,70.3
China,0.71,0.715,0.719,0.727,0.738,97,93,91,90,91,73.5,73.7,75.3,75.8,76,38,37,27,1.6,1.7,7.3,11.6,12.9,12.9,13.5,7.5,7.5,7.5,7.6,58.7,71.9,69.8,79.4,67.4,79.7,67.7,80.1,63.8,78.1,63.9,78.3,63.6,77.9
France,0.882,0.884,0.884,0.888,0.897,20,20,20,22,22,81.5,81.7,81.8,82.2,82.4,8,8,8,1.9,2,8.9,16.1,16,16,16.3,10.6,11.1,11.1,11.6,78,83.2,79.7,85.5,50.5,62.2,51.1,61.9,50.9,61.8,50.7,61.6,50.7,60.1
Germany,0.908,0.911,0.911,0.916,0.926,6,6,6,6,4,80.4,80.6,80.7,80.9,81.1,7,7,6,1.4,1.4,6.7,15.9,16.3,16.3,17.1,12.2,12.9,13.1,13.2,96.3,97,96.4,97,53.1,66.8,53,66.5,53.5,66.4,53.6,66.4,54.5,66.4
India,0.581,0.583,0.586,0.609,0.624,135,135,135,130,131,65.4,65.8,66.4,71.5,68.3,230,200,174,3,2.5,24.5,10.3,11.7,11.7,11.7,4.4,4.4,5.4,6.3,26.6,50.4,35.4,64.4,32.8,81.1,29,80.7,28.8,80.9,27,79.9,26.8,79.1
Indonesia,0.678,0.681,0.684,0.684,0.689,109,108,108,110,113,69.4,69.8,70.8,68.9,69.1,240,220,126,2.5,2.4,49.6,13.2,12.7,12.7,12.9,5.8,7.5,7.6,7.9,39.9,49.2,42.9,51.7,52,86,51.2,84.2,51.3,84.4,51.4,84.2,50.9,83.9
Italy,0.872,0.872,0.872,0.873,0.887,26,26,26,27,27,81.9,82,82.4,83.1,83.3,5,4,4,1.3,1.5,6,16.3,16.3,16.3,16.3,10.1,10.1,10.1,10.9,71.2,80.5,79.1,83.3,38.4,60.6,37.9,59.6,39.4,59.4,39.6,59.5,39.3,58.1
